Student_ID,Name,Class,Math,Physics,Computer,Total,Average,Percentage,Total_Rank,Math_Rank,Computer_Rank
101,Shubham,A,85,78,92,255,85.0,85.0,4,4,3
102,Amit,B,67,81,75,223,74.33,74.33,6,7,7
103,Rohit,A,90,88,95,273,91.0,91.0,2,2,2
104,Priya,C,72,69,80,221,73.67,73.67,7,6,6
105,Neha,B,95,91,98,284,94.67,94.67,1,1,1
106,Vikas,A,45,55,60,160,53.33,53.33,9,9,9
107,Sonia,C,88,84,89,261,87.0,87.0,3,3,4
108,Karan,B,39,42,50,131,43.67,43.67,10,10,10
109,Anjali,A,76,73,85,234,78.0,78.0,5,5,5
110,Rahul,C,58,61,70,189,63.0,63.0,8,8,8
